asset_id,filename,category,name,description,recommended_usage,preferred_zone,z_order,avoid_zones,dependencies,coordinate_system,status,notes
background_base_01,background_base/background_base_01.svg,background_base,Base indigo ground plate,Opaque deep indigo-to-violet vertical ground. The only intentionally non-transparent asset in the pack; everything else composites on top.,cover background system,full,0,,,cover_canvas_660x940,ready,Place first. Fills the full trim + bleed area.
background_field_violet_01,background_base/background_field_violet_01.svg,background_base,Upper-left violet colour field,Soft large-scale colour field (upper-left violet colour field). Tonal mass only — contains no linework and never competes with typography.,cover background system,full,4,,,cover_canvas_660x940,ready,Composite with normal blending at full opacity.
background_field_blue_01,background_base/background_field_blue_01.svg,background_base,Lower-right electric blue field,Soft large-scale colour field (lower-right electric blue field). Tonal mass only — contains no linework and never competes with typography.,cover background system,full,5,,,cover_canvas_660x940,ready,Composite with normal blending at full opacity.
background_field_cyan_01,background_base/background_field_cyan_01.svg,background_base,Central cool cyan field,Soft large-scale colour field (central cool cyan field). Tonal mass only — contains no linework and never competes with typography.,cover background system,full,6,,,cover_canvas_660x940,ready,Composite with normal blending at full opacity.
background_field_magenta_01,background_base/background_field_magenta_01.svg,background_base,Right-upper magenta accent field,Soft large-scale colour field (right-upper magenta accent field). Tonal mass only — contains no linework and never competes with typography.,cover background system,full,7,,,cover_canvas_660x940,ready,Composite with normal blending at full opacity.
background_upper_lift_01,background_base/background_upper_lift_01.svg,background_base,Upper atmospheric lift,Soft large-scale colour field (upper atmospheric lift). Tonal mass only — contains no linework and never competes with typography.,cover background system,full,8,,,cover_canvas_660x940,ready,Composite with normal blending at full opacity.
background_nebula_texture_01,background_base/background_nebula_texture_01.svg,background_base,Volumetric nebula texture,Multi-octave fractal-noise cloud layer tinted to the violet/blue palette. Supplies the painterly atmospheric depth of the concept.,cover background system,full,2,,,cover_canvas_660x940,ready,"SVG filter primitive. Figma rasterises feTurbulence on import — see README 'Known import caveats'. Screen blend, 58% opacity."
background_vignette_01,background_base/background_vignette_01.svg,background_base,Depth vignette pair,Vertical + radial vignette that seats the composition and keeps the page edges from floating.,cover background system,full,9,,,cover_canvas_660x940,ready,Two stacked gradients; keep together.
background_quiet_mask_01,background_base/background_quiet_mask_01.svg,background_base,Reading-zone quiet mask,Multiply mask that lowers contrast behind the title and footer bands without crushing them to black. Enforces the quiet -> energy -> quiet rhythm.,cover background system,upper+lower,90,,,cover_canvas_660x940,ready,Apply ABOVE all illustration layers but BELOW typography. Never remove: this is what keeps text legible.
wave_mid_01,wave_lines/wave_mid_01.svg,wave_lines,Dominant luminous sweep,"Primary gesture of the composition. Passes behind the hero. Glow pass + core stroke, matching the project's existing WaveGlow/WaveCore convention.",cover background system,middle,40,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Screen blend. Safe-zone verified: clears all protected text bands.
wave_mid_02,wave_lines/wave_mid_02.svg,wave_lines,Right inbound cyan filament,"Terminates behind the hero logo. Glow pass + core stroke, matching the project's existing WaveGlow/WaveCore convention.",cover background system,middle-right,41,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Screen blend. Safe-zone verified: clears all protected text bands.
wave_lower_01,wave_lines/wave_lower_01.svg,wave_lines,Left inbound blue filament,"Balances the dominant sweep on the left. Glow pass + core stroke, matching the project's existing WaveGlow/WaveCore convention.",cover background system,middle-left,42,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Screen blend. Safe-zone verified: clears all protected text bands.
wave_upper_01,wave_lines/wave_upper_01.svg,wave_lines,Upper supporting arc,"Quiet transitional arc between subtitle and hero. Glow pass + core stroke, matching the project's existing WaveGlow/WaveCore convention.",cover background system,upper,43,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Screen blend. Safe-zone verified: clears all protected text bands.
wave_footer_01,wave_lines/wave_footer_01.svg,wave_lines,Lower-right ascending filament,"Lifts energy out of the footer field. Glow pass + core stroke, matching the project's existing WaveGlow/WaveCore convention.",cover background system,lower-right,44,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Screen blend. Safe-zone verified: clears all protected text bands.
wave_echo_far_01,wave_lines/wave_echo_far_01.svg,wave_lines,Far parallax echo,"Heavily blurred background echo; creates parallax depth. Glow pass + core stroke, matching the project's existing WaveGlow/WaveCore convention.",cover background system,middle,30,title_safe_area|author_safe_area|footer_safe_area,,cover_canvas_660x940,ready,Screen blend. Safe-zone verified: clears all protected text bands.
